"Points:0","Points:1","Points:2","arc_length","raw_data_1","raw_data_2","u","v","zeta"
0.970976,0.443271514512,0,0.37994748285,3.25,3.000006,-1.06672121503,-1.55926276005,2.34941237634e-07
0.970976,0.4327176781,0,0.390501319261,3.499994,3.749988,-0.94369891424,-1.64510583046,2.34941237634e-07
0.970976,0.432717424802,0,0.390501572559,3.499988,3.749994,-0.943696562888,-1.64510830199,8.80840193764e-08
0.970976,0.422163588391,0,0.401055408971,3,3.749994,-0.826311987122,-1.66893506832,8.80840193764e-08
0.970976,0.422163335092,0,0.401055662269,3,3.749994,-0.826316720056,-1.66893224309,-5.37926316667e-08
0.970976,0.411609498681,0,0.411609498681,3.249994,3.5,-0.990019209592,-1.53669109848,-5.37926316667e-08
0.970976,0.411609245383,0,0.411609751979,3.249994,3.500012,-0.99002525307,-1.53669021447,-5.59933410645e-08
0.970976,0.401055408971,0,0.422163588391,3,3.250018,-1.23072618437,-1.46838910948,-5.59933410645e-08
0.970976,0.401055155673,0,0.422163841689,3,3.250018,-1.23073359479,-1.46838622666,3.41745222478e-08
0.970976,0.390501319261,0,0.4327176781,3.749982,3.000024,-1.54881135878,-1.31021135532,3.41745222478e-08
0.970976,0.390501065963,0,0.432717931398,3.75,3.000012,-1.54881443959,-1.31020661859,2.03214056318e-07
0.970976,0.379947229551,0,0.44327176781,3.000018,3.5,-1.79199581667,-1.09123153126,2.03214056318e-07
0.970976,0.379946976253,0,0.443272021108,3,3.499988,-1.7919948364,-1.09122101053,3.57172865111e-07
0.970976,0.369393139842,0,0.45382585752,3.249994,3.749982,-1.74888789329,-0.807809642617,3.57172865111e-07
0.970976,0.369392886544,0,0.453826110818,3.250006,3.749994,-1.7488795124,-0.807800567198,2.84606155258e-07
0.970976,0.358839050132,0,0.46437994723,3.250006,3.250006,-1.54144099928,-0.742769815009,2.84606155258e-07
0.970976,0.358838796834,0,0.464380200528,3.249994,3.250006,-1.5414393905,-0.742768623124,-2.4617767965e-07
0.970976,0.348284960422,0,0.474934036939,3,3.250006,-1.20249821271,-0.627477070117,-2.4617767965e-07
0.970976,0.348284707124,0,0.474934290237,3.000006,3.250006,-1.20251274545,-0.627471504993,-5.26187881404e-07
0.970976,0.337730870712,0,0.485488126649,3.25,3.5,-1.941784037,-0.545017382265,-5.26187881404e-07
0.970976,0.337730617414,0,0.485488379947,3.250006,3.499994,-1.94179211329,-0.545018176033,-2.79585056477e-07
0.970976,0.327176781003,0,0.496042216359,3.250006,3.499994,-2.41855864153,-0.217835777798,-2.79585056477e-07
0.970976,0.327176527704,0,0.496042469657,3.249994,3.500012,-2.41856326085,-0.217832836205,-1.56941089229e-07
0.970976,0.316622691293,0,0.506596306069,3.749982,4,-2.61730805117,-0.131059784795,-1.56941089229e-07
0.970976,0.316622437995,0,0.506596559367,3.749982,3.999988,-2.61731433889,-0.131058517783,-2.26397123129e-07
0.970976,0.306068601583,0,0.517150395778,3,3.749994,-2.79846354752,-0.0454071911963,-2.26397123129e-07
0.970976,0.306068348285,0,0.517150649077,3,3.749994,-2.79847394943,-0.0454011371916,-9.96321319604e-08
0.970976,0.295514511873,0,0.527704485488,3,3.749994,-3.2051367817,0.306932293173,-9.96321319604e-08
0.970976,0.295514258575,0,0.527704738786,3,3.749988,-3.20514067709,0.306926105942,2.07542739466e-07
0.970976,0.284960422164,0,0.538258575198,3.499988,3.749988,-3.24718776401,0.59239760212,2.07542739466e-07
0.970976,0.284960168865,0,0.538258828496,3.499994,3.749988,-3.24718855406,0.59239968563,2.420127899e-07
0.970976,0.274406332454,0,0.548812664908,3.000006,3.749988,-3.2612857051,0.627704839294,2.420127899e-07
0.970976,0.274406079156,0,0.548812918206,3,3.749994,-3.26128692293,0.627705757529,2.8072607396e-07
0.970976,0.263852242744,0,0.559366754617,3.249994,3.250006,-3.35518927867,0.274614424869,2.8072607396e-07
0.970976,0.263851989446,0,0.559367007916,3.249994,3.250006,-3.35518134986,0.274627253149,3.14869050909e-07
0.970976,0.253298153034,0,0.569920844327,3,3.5,-3.01342181521,0.525317547693,3.14869050909e-07
0.970976,0.253297899736,0,0.569921097625,3.000006,3.499988,-3.01341627844,0.525312444578,9.65893458237e-08
0.970976,0.242744063325,0,0.580474934037,3.000006,3,-2.93831247847,0.387017238933,9.65893458237e-08
0.970976,0.242743810026,0,0.580475187335,3,3,-2.93831399471,0.387014515727,-2.99987252344e-07
0.970976,0.232189973615,0,0.591029023747,3.499988,3,-3.10484894045,0.274438626754,-2.99987252344e-07
0.970976,0.232189720317,0,0.591029277045,3.499988,3.000012,-3.10486113394,0.274426122112,-5.70967576824e-07
0.970976,0.221635883905,0,0.601583113456,3.249994,3.250006,-3.48153250368,-0.410837759822,-5.70967576824e-07
0.970976,0.221635630607,0,0.601583366755,3.249994,3.250018,-3.48154475182,-0.410839117799,-3.47193859973e-07
0.970976,0.211081794195,0,0.612137203166,3,3.500012,-3.78604343342,-0.483220334467,-3.47193859973e-07
0.970976,0.211081540897,0,0.612137456464,3,3.500006,-3.78604324809,-0.483220798131,-2.79183068005e-08
0.970976,0.200527704485,0,0.622691292876,3.499988,3.250012,-3.85606807465,-0.466597480723,-2.79183068005e-08
